"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","day","wday","month","year","hour.cut.reg","hour.cut.cas","temp.reg","temp.cas","humidity.reg","humidity.cas","day_type","weekend","mean.reg.weekend.hour","mean.cas.weekend.hour","registered","casual","count"
"spring","no","yes","a",10.66,11.365,56,26.0027,0,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",3.24368402671511,1.73071483706548,NA,NA,NA
"spring","no","yes","a",10.66,13.635,56,11.2801626561257,1,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",2.43844549324037,1.16261876258558,NA,NA,NA
"spring","no","yes","a",10.66,13.635,56,11.2801626561257,2,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",1.84016627950171,0.84148657751391,NA,NA,NA
"spring","no","yes","a",10.66,12.88,56,11.0014,3,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",1.51857578030982,0.467966091274623,NA,NA,NA
"spring","no","yes","a",10.66,12.88,56,11.0014,4,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",1.59382125666333,0.414755945829387,NA,NA,NA
"spring","no","yes","a",9.84,11.365,60,15.0013,5,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",2.99860424833716,0.640204399963474,NA,NA,NA
"spring","no","yes","a",9.02,10.605,60,15.0013,6,20,"gio",1,2011,"a","a","a","a","b","b","working day","no",4.41969810691493,1.39923767451232,NA,NA,NA
"spring","no","yes","a",9.02,10.605,55,15.0013,7,20,"gio",1,2011,"d","a","a","a","b","c","working day","no",5.44272001646284,2.27990719462834,NA,NA,NA
"spring","no","yes","a",9.02,10.605,55,19.0012,8,20,"gio",1,2011,"e","b","a","a","b","c","working day","no",5.99083958313721,2.93306003819195,NA,NA,NA
"spring","no","yes","b",9.84,11.365,52,15.0013,9,20,"gio",1,2011,"c","b","a","a","b","c","working day","no",5.29970216927496,2.97956429774292,NA,NA,NA
"spring","no","yes","a",10.66,11.365,48,19.9995,10,20,"gio",1,2011,"c","d","a","a","b","c","working day","no",4.57535940363526,3.13598383725972,NA,NA,NA
"spring","no","yes","b",11.48,13.635,45,11.0014,11,20,"gio",1,2011,"c","d","a","a","b","c","working day","no",4.70589104291752,3.33890140330495,NA,NA,NA
"spring","no","yes","b",12.3,16.665,42,11.2955513554339,12,20,"gio",1,2011,"c","d","a","a","c","c","working day","no",4.9764439946114,3.43075198854466,NA,NA,NA
